id,name,coordinates,zip_code,industry_type,general_industry
Zxj4PhLtrWUTaNsyN0bkWA,Dodah's Kitchen,"39.303855, -76.616344",21201,"""Vegan"", ""Bakeries"", ""Soul Food""",Food & Dining
eUqM5mQIH6kv9CYtBeuxoA,Sobeachy Haitian Cuisine,"39.276810, -76.613330",21230,"""Haitian"", ""Food Stands"", ""Caterers""",Food & Dining
qZx7sf7JnviW51vUVEGlTA,Cafe 1908,"39.304297, -76.616868",21201,"""Seafood"", ""Salad"", ""Sandwiches""",Food & Dining
CtHGALUoofDKRqqCfxbafQ,Sophomore Coffee,"39.315077, -76.618002",21218,"""Coffee Roasteries""",Food & Dining
43EIHjOZe7NpzQ-dKgDHJA,Llamas’ Corner,"39.308900, -76.625601",21217,"""Themed Cafes"", ""Coffee & Tea""",Food & Dining
oo5paagAzS25C3qb2yz9nQ,Ksm Candle,"39.330777, -76.642634",21211,"""Gift Shops"", ""Art Classes"", ""Candle Stores""",Retail & Shopping
AAm3jwOC2feBO4yPWzmVpg,Peppa Flame Restaurant and Lounge,"39.270632, -76.594180",21230,"""Salad"", ""Lounges"", ""Pasta Shops""",Food & Dining
lP9ShuZ0no3flZhAfSZxJQ,England Eatery,"39.287740, -76.635201",21218,"""American"", ""Soul Food""",Food & Dining
5NpiWyTnUZUIuACI4YyhLQ,E's Cleaning Solutions,"39.294813, -76.622169",21201,"""Office Cleaning"", ""Home Cleaning""",Professional Services
imwg4OG-eXiioyynr97NsA,Midnite Confection's Cupcakery,"39.277130, -76.614150",21230,"""Bakeries"", ""Cupcakes""",Food & Dining
hiyaI2I1v_4ptiToUjwR-Q,Hoodfellas Bistro And Catering,"39.290173, -76.611969",21202,"""Cafes"", ""Breakfast & Brunch"", ""Sandwiches""",Food & Dining
NyuTK2MOVVIl8aoMMysdYg,The Empanada Lady,"39.289205, -76.611191",21202,"""Empanadas"", ""Puerto Rican""",Food & Dining
-jZZEKPf-TVZqCly9n-Ndw,Black Acres Roastery - Open Works,"39.306134, -76.608912",21202,"""Coffee & Tea"", ""Cafes""",Food & Dining
ObGJ1gEwa8uzZyp7-1bs4g,The Green House Juice Cafe,"39.317261, -76.615226",21218,"""Vegan"", ""Juice Bars & Smoothies""",Food & Dining
OIuv_X34Vxm4brWGUU4eoA,Bike and Brunch Tours,"39.296449, -76.607430",21202,"""Bike tours"", ""Bike Rentals""",Travel & Hospitality
cIJM0gmRUuxe9GSlhND4FQ,Quench Juice Bar,"39.288250, -76.612430",21202,"""Juice Bars & Smoothies""",Food & Dining
z6pGuXUobExTd63jnqhjBA,England Eatery ,"39.288374, -76.640576",21223,"""Soul Food"", ""Seafood"", ""Comfort Food""",Food & Dining
Dby_LLF8BzQVBwtxNLCY0A,The Anonymous,"39.304213, -76.618310",21201,"""Lounges"", ""New American""",Food & Dining
8H5R-lGshKUQG642x-6zNA,Baltimore Gold Fronts,"39.298749, -76.582812",21205,"""Jewelry"", ""Jewelry Repair"", ""Watches""",Retail & Shopping
SGGKDmQjKd3BVmj9fwwbzA,Studio 7 The Salon And Spa,"39.298756, -76.615998",21201,"""Hair Salons"", ""Skin Care""",Personal Care
wO_-NyN2nxtwxj-hvXlMOQ,Nubian Hueman,"39.300270, -76.618950",21201,"""Accessories"", ""Men's Clothing"", ""Women's Clothing""",Retail & Shopping
_9QU4RRmjK-AyP47CYWCYA,K G Next Level Craftsmanship,"39.294094, -76.621201",21201,"""Handyman"", ""Carpenters""",Construction & Home Improvement
Ggwk4YdG8cRZgEbh_RiH3Q,K. Stewart the Salon,"39.301501, -76.617443",21201,"""Cosmetics & Beauty Supply"", ""Hair Stylists"", ""Hair Extensions""",Personal Care
nV61WVluV_ifBybrRWH07A,Buns & Roses Chimney Cakes,"39.279802, -76.612387",21230,"""Ice Cream & Frozen Yogurt"", ""Coffee & Tea"", ""Desserts""",Food & Dining
cE9ukAE3GxH1ol6QmM6-CA,Wine O Clock,"39.295840, -76.619040",21201,"""Bartenders"", ""Caterers""",Food & Dining
V8h0FcgKNiTNS3g9lJ16Fg,Maienfels Biergarten,"39.293400, -76.622130",21201,"""Beer Gardens"", ""Beer Bar""",Food & Dining
B56fX-7tPerkMbW41L8GbQ,D's Juice Bar,"39.289547, -76.620448",21201,"""Juice Bars & Smoothies""",Food & Dining
NXfyvHNrRx0v17zhEBcokg,Berries By Quicha,"39.278397, -76.612862",21230,"""Chocolatiers & Shops"", ""Candy Stores""",Retail & Shopping
lW_UxROvdjymg41X3s54PA,Taste This Balt,"39.318077, -76.615150",21218,"""Seafood"", ""Soul Food"", ""Breakfast & Brunch""",Food & Dining
bS1L4NFAty0UGgtE_IayJw,Cowboys Car Wash,"39.329965, -76.602685",21218,"""Car Wash""",Automotive Services
DBzOfmBz2iyb-Sbq2AQmbA,Kelley Gardens,"39.285560, -76.591120",21231,"""Nurseries & Gardening""",Other
